"","lhs","","rhs","support","confidence","coverage","lift","count"
"[1]","{V2= Gemeos}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[2]","{V2= Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[3]","{V2= Gemeos}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[4]","{V3=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[5]","{V3=Gemeos}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[6]","{V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[7]","{V4=Crucifixo}","=>","{V2=Gemeos}",0.0512820512820513,1,0.0512820512820513,5.57142857142857,2
"[8]","{V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[9]","{V2=Flexor}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[10]","{V2=Flexor}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[11]","{V2=Flexor}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[12]","{V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[13]","{V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[14]","{V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[15]","{V4=Bicicleta}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[16]","{V4=Agachamento}","=>","{V2=LegPress}",0.0512820512820513,1,0.0512820512820513,13,2
"[17]","{V4=Agachamento}","=>","{V1=Gemeos}",0.0512820512820513,1,0.0512820512820513,7.8,2
"[18]","{V4=Agachamento}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[19]","{V4=Adutor}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[20]","{V3=LegPress}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[21]","{V4=Adutor}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[22]","{V2=Agachamento}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[23]","{V4=Adutor}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[24]","{V1=Adutor}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[25]","{V3=LegPress}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[26]","{V2=Agachamento}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[27]","{V3=LegPress}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[28]","{V1=Adutor}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[29]","{V2=Agachamento}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[30]","{V1=Adutor}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[31]","{V2=LegPress}","=>","{V1=Gemeos}",0.0769230769230769,1,0.0769230769230769,7.8,3
"[32]","{V2=LegPress}","=>","{V3=Afundo}",0.0769230769230769,1,0.0769230769230769,6.5,3
"[33]","{V3=Agachamento}","=>","{V2=Gemeos}",0.0769230769230769,1,0.0769230769230769,5.57142857142857,3
"[34]","{V3=Agachamento}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[35]","{V3=Agachamento}","=>","{V4=}",0.0769230769230769,1,0.0769230769230769,2.4375,3
"[36]","{V3=Bicicleta}","=>","{V1=Extensor}",0.307692307692308,1,0.307692307692308,3,12
"[37]","{V2=}","=>","{V3=}",0.333333333333333,1,0.333333333333333,3,13
"[38]","{V3=}","=>","{V2=}",0.333333333333333,1,0.333333333333333,3,13
"[39]","{V2=}","=>","{V4=}",0.333333333333333,1,0.333333333333333,2.4375,13
"[40]","{V3=}","=>","{V4=}",0.333333333333333,1,0.333333333333333,2.4375,13
"[41]","{V2= Gemeos, V3=Bicicleta}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[42]","{V2= Gemeos, V4=Esteira}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[43]","{V2= Gemeos, V3=Bicicleta}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[44]","{V1=Extensor, V2= Gemeos}","=>","{V3=Bicicleta}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[45]","{V2= Gemeos, V4=Esteira}","=>","{V1=Extensor}",0.0256410256410256,1,0.0256410256410256,3,1
"[46]","{V1=Extensor, V2= Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[47]","{V1=Afundo, V3=Gemeos}","=>","{V2=AgachamentoSmith}",0.0256410256410256,1,0.0256410256410256,3.9,1
"[48]","{V1=Afundo, V2=AgachamentoSmith}","=>","{V3=Gemeos}",0.0256410256410256,1,0.0256410256410256,19.5,1
"[49]","{V1=Afundo, V3=Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[50]","{V1=Afundo, V4=Esteira}","=>","{V3=Gemeos}",0.0256410256410256,1,0.0256410256410256,19.5,1
"[51]","{V2=AgachamentoSmith, V3=Gemeos}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[52]","{V3=Gemeos, V4=Esteira}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[53]","{V1=Extensor, V3=Gemeos}","=>","{V2=AgachamentoSmith}",0.0256410256410256,1,0.0256410256410256,3.9,1
"[54]","{V1=Extensor, V3=Gemeos}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[55]","{V3=Afundo, V4=Crucifixo}","=>","{V2=Gemeos}",0.0512820512820513,1,0.0512820512820513,5.57142857142857,2
"[56]","{V2=Gemeos, V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[57]","{V3=Afundo, V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[58]","{V1=LegPress, V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[59]","{V2=Gemeos, V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[60]","{V1=LegPress, V4=Crucifixo}","=>","{V2=Gemeos}",0.0512820512820513,1,0.0512820512820513,5.57142857142857,2
"[61]","{V2=Flexor, V3=Bicicleta}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[62]","{V2=Flexor, V4=Esteira}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[63]","{V2=Flexor, V3=Bicicleta}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[64]","{V1=Extensor, V2=Flexor}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[65]","{V2=Flexor, V4=Esteira}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[66]","{V1=Extensor, V2=Flexor}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[67]","{V2=AgachamentoSmith, V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[68]","{V3=Bicicleta, V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[69]","{V2=AgachamentoSmith, V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[70]","{V1=Extensor, V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[71]","{V3=Bicicleta, V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[72]","{V1=Extensor, V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[73]","{V2=LegPress, V4=Bicicleta}","=>","{V1=Gemeos}",0.0256410256410256,1,0.0256410256410256,7.8,1
"[74]","{V1=Gemeos, V4=Bicicleta}","=>","{V2=LegPress}",0.0256410256410256,1,0.0256410256410256,13,1
"[75]","{V2=LegPress, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[76]","{V1=Gemeos, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[77]","{V2=Gemeos, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[78]","{V1=LegPress, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[79]","{V2=Gemeos, V4=Bicicleta}","=>","{V1=LegPress}",0.0256410256410256,1,0.0256410256410256,2.6,1
"[80]","{V1=LegPress, V4=Bicicleta}","=>","{V2=Gemeos}",0.0256410256410256,1,0.0256410256410256,5.57142857142857,1
"[81]","{V2=LegPress, V4=Agachamento}","=>","{V1=Gemeos}",0.0512820512820513,1,0.0512820512820513,7.8,2
